pedido_id,data_pedido,cliente_id,produto_id,quantidade,preco_unitario,valor_total,canal_venda,vendedor,estado_entrega
PV001160,2024-01-01,C0088,P002,165,8.28,1366.2,Key Account,Felipe Santos,MG
PV002273,2024-01-01,C0163,P004,33,8.4,277.2,Representante Comercial,Daniela Rocha,AM
PV004761,2024-01-01,C0076,P017,118,3.5,413.0,Key Account,Eduarda Melo,SC
PV001709,2024-01-01,C0006,P014,147,3.95,580.65,Representante Comercial,Carlos Silva,PE
PV005885,2024-01-01,C0137,P011,76,17.31,1315.56,Representante Comercial,Daniela Rocha,MT
PV005146,2024-01-01,C0042,P020,161,4.28,689.08,Representante Comercial,Carlos Silva,RS
PV000884,2024-01-01,C0062,P009,10,5.04,50.4,E-commerce B2B,Felipe Santos,AL
PV001164,2024-01-01,C0039,P005,84,4.03,338.52,Key Account,Ana Souza,PA
PV003552,2024-01-02,C0035,P016,31,6.66,206.46,Representante Comercial,Ana Souza,CE
PV002949,2024-01-02,C0022,P004,99,8.62,853.38,Key Account,Eduarda Melo,AL
PV005328,2024-01-02,C0034,P004,46,8.75,402.5,E-commerce B2B,Ana Souza,RJ
PV006848,2024-01-02,C0096,P011,173,16.34,2826.82,Televendas,Carlos Silva,SP
PV002252,2024-01-02,C0137,P017,29,3.35,97.15,Key Account,Ana Souza,MT
PV006123,2024-01-02,C0098,P003,58,8.28,480.24,E-commerce B2B,Carlos Silva,PA
PV003055,2024-01-03,C0108,P016,47,6.47,304.09,E-commerce B2B,Carlos Silva,SP
PV001972,2024-01-03,C0153,P007,149,8.05,1199.45,Key Account,Bruno Lima,AM
PV002662,2024-01-03,C0096,P005,171,4.26,728.46,Representante Comercial,Ana Souza,SP
PV000472,2024-01-03,C0013,P003,176,7.76,1365.76,Key Account,Ana Souza,AL
PV006114,2024-01-03,C0041,P014,80,3.84,307.2,E-commerce B2B,Ana Souza,AM
PV000544,2024-01-03,C0025,P006,112,4.26,477.12,Key Account,Bruno Lima,ES
PV000825,2024-01-03,C0058,P014,58,3.71,215.18,E-commerce B2B,Carlos Silva,PE
PV001159,2024-01-03,C0088,P010,160,5.39,862.4,Representante Comercial,Bruno Lima,MG
PV005560,2024-01-03,C0179,P010,178,5.07,902.46,Representante Comercial,Daniela Rocha,GO
PV003012,2024-01-03,C0053,P016,69,6.4,441.6,Televendas,Eduarda Melo,PR
PV003953,2024-01-03,C0136,P014,15,3.92,58.8,Televendas,Felipe Santos,GO
PV002466,2024-01-04,C0075,P015,14,5.74,80.36,Representante Comercial,Bruno Lima,MT
PV004264,2024-01-04,C0106,P002,129,9.12,1176.48,E-commerce B2B,Eduarda Melo,PA
PV005780,2024-01-04,C0062,P017,29,3.21,93.09,E-commerce B2B,Daniela Rocha,AL
PV000145,2024-01-04,C0012,P004,151,8.33,1257.83,E-commerce B2B,Felipe Santos,RJ
PV004044,2024-01-04,C0149,P010,21,5.44,114.24,Representante Comercial,Eduarda Melo,ES
PV001065,2024-01-04,C0128,P017,175,3.2,560.0,Key Account,Carlos Silva,PR
PV003320,2024-01-04,C0101,P004,38,8.67,329.46,Representante Comercial,Ana Souza,AM
PV004599,2024-01-05,C0053,P010,61,4.93,300.73,Representante Comercial,Ana Souza,PR
PV007049,2024-01-05,C0141,P017,137,3.2,438.4,E-commerce B2B,Carlos Silva,PE
PV005088,2024-01-05,C0062,P017,12,3.42,41.04,Televendas,Felipe Santos,AL
PV001680,2024-01-05,C0086,P018,6,2.92,17.52,E-commerce B2B,Daniela Rocha,AL
PV000110,2024-01-05,C0128,P013,104,5.09,529.36,Key Account,Carlos Silva,PR
PV000985,2024-01-05,C0137,P020,141,4.05,571.05,Televendas,Daniela Rocha,MT
PV004067,2024-01-05,C0127,P005,129,4.11,530.19,Televendas,Eduarda Melo,PR
PV005920,2024-01-05,C0124,P017,96,3.45,331.2,E-commerce B2B,Ana Souza,DF
PV000756,2024-01-05,C0017,P010,86,5.06,435.16,Key Account,Ana Souza,RS
PV002355,2024-01-05,C0047,P017,94,3.15,296.1,Key Account,Ana Souza,BA
